#2Awesome	group interest	0.899	0.857	1.075	71.671	0.052	0.013	0.016	0.984	8.055	7.702	1.750	7.322	1.000	0.044	0.121	0.829	0.187
#3wordsbetterthanIloveyou	group interest	0.820	0.832	1.028	76.052	0.575	0.041	0.028	0.990	8.427	8.456	1.289	6.667	1.000	0.007	0.100	0.893	0.228
#4HSepang	group interest	0.661	1.000	1.177	51.587	0.718	0.077	0.011	0.892	9.095	8.438	2.236	7.894	1.000	0.055	0.124	0.820	0.082
#60daysinjail	group interest	0.503	0.592	1.803	74.293	1.758	0.000	0.433	0.962	6.267	6.555	3.453	8.024	1.000	0.007	0.077	0.917	0.156
#7YearsOfBaby	commemoratives	0.080	0.411	1.115	72.392	0.920	0.072	0.016	0.973	7.717	5.440	1.992	9.681	1.000	0.132	0.121	0.747	-0.048
#80sSongsForCountries	group interest	0.869	0.900	1.819	78.597	1.638	0.027	0.023	0.991	7.626	7.295	3.131	7.171	1.000	0.041	0.110	0.849	0.167
Aaron Rodgers	group interest	0.361	0.369	1.028	47.906	1.057	0.020	0.011	0.997	7.989	6.588	1.291	8.202	1.000	0.029	0.092	0.879	0.068
#AcademyAwards	news	0.763	0.778	0.186	88.975	1.015	0.038	0.257	0.987	9.604	9.217	5.038	8.236	1.000	0.066	0.148	0.786	0.218
#AcBookWeek	live events	0.849	0.841	3.313	106.833	1.451	0.053	0.135	0.976	9.465	9.214	5.095	7.886	1.000	0.012	0.116	0.872	0.271
#accidentalmovies	group interest	0.714	0.778	1.360	92.804	1.686	0.128	0.464	0.936	7.454	6.830	3.871	9.286	1.000	0.007	0.126	0.867	0.299
#ActiveJanoskians	group interest	0.377	0.424	1.039	42.202	1.754	0.008	0.003	1.000	7.352	5.986	1.365	8.268	1.000	0.079	0.043	0.878	-0.025
Adam Davies	news	0.054	0.115	1.046	60.415	5.200	0.092	0.054	0.985	6.945	3.522	1.390	8.454	1.000	0.063	0.168	0.769	0.157
Adam Hadwin	news	0.714	0.745	0.617	83.635	2.312	0.005	0.591	0.727	8.788	8.379	3.802	7.495	1.000	0.008	0.042	0.950	0.086
Adama Barrow	news	0.674	0.695	0.153	92.580	2.522	0.013	0.262	0.796	9.388	8.648	5.751	7.257	1.000	0.039	0.053	0.909	-0.002
Adama Traore	group interest	0.735	0.744	0.488	99.259	2.930	0.017	0.308	0.942	8.809	8.241	4.341	7.727	1.000	0.014	0.078	0.907	0.170
Aditya Chakrabortty	news	0.719	0.746	0.272	102.526	8.877	0.061	0.211	0.886	7.661	7.208	3.954	7.820	1.000	0.018	0.054	0.928	0.087
AFC Wimbledon	live events	0.620	0.990	0.037	109.047	2.538	0.037	0.490	0.995	9.398	8.664	4.082	6.248	1.000	0.120	0.103	0.777	-0.052
#AFCON2017	live events	0.358	0.424	0.557	86.477	2.841	0.061	0.257	0.981	9.020	7.752	5.615	8.781	1.000	0.015	0.118	0.866	0.237
#AFCvBFC	live events	0.520	0.605	1.773	89.472	3.116	0.057	0.057	0.980	8.690	8.102	4.600	9.619	1.000	0.049	0.114	0.837	0.172
#AfrobeatsWithAbrantee	group interest	0.883	0.886	1.120	85.425	3.334	0.560	0.054	0.910	8.959	8.765	2.200	6.921	1.000	0.004	0.023	0.972	0.034
Airdrie Savings Bank	news	0.691	0.706	1.265	82.532	3.590	0.242	0.031	0.782	7.740	8.665	2.732	8.213	1.000	0.033	0.099	0.867	0.128
